{'loss': 2.5256, 'grad_norm': 3.8246872425079346, 'learning_rate': 1e-05, 'num_tokens': 25742.0, 'mean_token_accuracy': 0.5, 'epoch': 0.05}
{'loss': 2.958, 'grad_norm': 3.2717983722686768, 'learning_rate': 9.800000000000001e-06, 'num_tokens': 26254.0, 'mean_token_accuracy': 0.4031311273574829, 'epoch': 0.05}
{'loss': 3.5112, 'grad_norm': 2.9772956371307373, 'learning_rate': 9.600000000000001e-06, 'num_tokens': 26766.0, 'mean_token_accuracy': 0.3757338523864746, 'epoch': 0.05}
{'loss': 1.6944, 'grad_norm': 3.5514774322509766, 'learning_rate': 9.4e-06, 'num_tokens': 27278.0, 'mean_token_accuracy': 0.5733855366706848, 'epoch': 0.05}
{'loss': 2.2088, 'grad_norm': 5.5101847648620605, 'learning_rate': 9.200000000000002e-06, 'num_tokens': 27553.0, 'mean_token_accuracy': 0.5, 'epoch': 0.05}
{'loss': 1.7996, 'grad_norm': 3.361571788787842, 'learning_rate': 9e-06, 'num_tokens': 28032.0, 'mean_token_accuracy': 0.6004183888435364, 'epoch': 0.05}
{'loss': 2.0952, 'grad_norm': 3.4337525367736816, 'learning_rate': 8.8e-06, 'num_tokens': 28544.0, 'mean_token_accuracy': 0.5479452013969421, 'epoch': 0.06}
{'loss': 0.9098, 'grad_norm': 3.176729679107666, 'learning_rate': 8.6e-06, 'num_tokens': 29056.0, 'mean_token_accuracy': 0.7338551878929138, 'epoch': 0.06}
{'loss': 2.4655, 'grad_norm': 3.879152536392212, 'learning_rate': 8.400000000000001e-06, 'num_tokens': 29568.0, 'mean_token_accuracy': 0.5068492889404297, 'epoch': 0.06}
{'loss': 2.0338, 'grad_norm': 4.057100296020508, 'learning_rate': 8.2e-06, 'num_tokens': 30080.0, 'mean_token_accuracy': 0.5322896242141724, 'epoch': 0.06}
{'loss': 0.8992, 'grad_norm': 3.337284803390503, 'learning_rate': 8.000000000000001e-06, 'num_tokens': 30592.0, 'mean_token_accuracy': 0.7436399459838867, 'epoch': 0.06}
{'loss': 1.2709, 'grad_norm': 2.996492862701416, 'learning_rate': 7.800000000000002e-06, 'num_tokens': 31104.0, 'mean_token_accuracy': 0.6516634225845337, 'epoch': 0.06}
{'loss': 1.6058, 'grad_norm': 3.207324504852295, 'learning_rate': 7.600000000000001e-06, 'num_tokens': 31616.0, 'mean_token_accuracy': 0.6125244498252869, 'epoch': 0.06}
{'loss': 1.5128, 'grad_norm': 3.2856290340423584, 'learning_rate': 7.4e-06, 'num_tokens': 32128.0, 'mean_token_accuracy': 0.6105675101280212, 'epoch': 0.06}
{'loss': 1.6583, 'grad_norm': 3.7042198181152344, 'learning_rate': 7.2000000000000005e-06, 'num_tokens': 32640.0, 'mean_token_accuracy': 0.5949119329452515, 'epoch': 0.06}
{'loss': 1.6137, 'grad_norm': 4.2161383628845215, 'learning_rate': 7e-06, 'num_tokens': 33152.0, 'mean_token_accuracy': 0.5851271748542786, 'epoch': 0.06}
{'loss': 2.5289, 'grad_norm': 3.511970043182373, 'learning_rate': 6.800000000000001e-06, 'num_tokens': 33664.0, 'mean_token_accuracy': 0.4579256474971771, 'epoch': 0.07}
{'loss': 2.795, 'grad_norm': 3.342571496963501, 'learning_rate': 6.600000000000001e-06, 'num_tokens': 34176.0, 'mean_token_accuracy': 0.45009785890579224, 'epoch': 0.07}
{'loss': 1.9993, 'grad_norm': 3.652933359146118, 'learning_rate': 6.4000000000000006e-06, 'num_tokens': 34688.0, 'mean_token_accuracy': 0.6086105704307556, 'epoch': 0.07}
{'loss': 1.4936, 'grad_norm': 3.3954062461853027, 'learning_rate': 6.200000000000001e-06, 'num_tokens': 35200.0, 'mean_token_accuracy': 0.6360078454017639, 'epoch': 0.07}
